nome_completo,filiacao_pai,filiacao_mae,data_nascimento,sexo,naturalidade,local_tirou_cidade,local_tirou_estado,estado_completo,data_emissao,validade_identidade,orgao_emissor,cpf
Camila Pastor,Caio Borges,Sophia Vasconcelos,07/06/2000,F,Lopes - RO,Vieira Grande,TO,Estado do Tocantins,26/11/2017,26/11/2027,Instituto de Identificacao,081.649.593-09
Brayan da Conceição,Enzo Gabriel da Luz,Nicole Moraes,04/10/1983,M,da Mota - GO,Lima,DF,Distrito Federal,02/09/2018,02/09/2025,Instituto de Identificacao,562.644.008-09
Dante da Rocha,Luiz Otávio da Rocha,Laura Silva,09/01/2008,M,Farias - AL,Peixoto,PE,Estado de Pernambuco,28/03/2015,28/03/2024,Instituto de Identificacao,647.221.580-69
Clarice Barros,Pedro Rocha,Lunna Moraes,16/06/1980,F,Nogueira - RR,da Cruz,AL,Estado de Alagoas,07/03/2015,07/03/2023,Instituto de Identificacao / SSP AL,096.776.562-97
Eloá Correia,André Macedo,Ana Lívia Freitas,16/10/1973,M,Pinto - PB,Andrade,PI,Estado do Piauí,13/11/2017,13/11/2025,Instituto de Identificacao,554.920.547-23
Maria Isis Nunes,João Pedro Teixeira,Juliana das Neves,29/05/1959,F,Barbosa de Cavalcante - MT,Casa Grande,RR,Estado de Roraima,09/11/2015,09/11/2023,Instituto de Identificacao,632.401.312-00
Caleb Campos,Ian Santos,Sophie Pinto,17/07/1965,M,Siqueira - AL,Machado,PI,Estado do Piauí,06/02/2021,06/02/2028,Instituto de Identificacao,398.974.999-50
Maya Pacheco,Felipe Fernandes,Sofia Rocha,12/06/1982,F,Almeida da Prata - SP,Pacheco de Rios,PI,Estado do Piauí,09/10/2018,09/10/2023,Instituto de Identificacao / SSP PI,336.029.754-25
Erick Nunes,Renan da Mota,Melina Moraes,14/12/1955,F,Campos - GO,Melo,SP,Estado de São Paulo,13/11/2013,13/11/2019,Instituto de Identificacao / PC SP,960.335.303-41
Camila Gonçalves,Paulo Carvalho,Ana Julia Cunha,29/04/2006,F,Pastor - SC,Alves,GO,Estado de Goiás,01/03/2013,01/03/2019,Instituto de Identificacao / SSP GO,998.836.850-00
Cecilia Brito,Francisco Machado,Zoe Sales,13/09/1970,F,Dias - SC,da Luz,SE,Estado de Sergipe,18/08/2011,18/08/2018,Instituto de Identificacao,742.857.736-05
Ayla Fogaça,Rael Nascimento,Ester Macedo,07/07/1972,M,Farias Verde - PI,Silveira de Albuquerque,AC,Estado do Acre,19/01/2024,19/01/2033,Instituto de Identificacao,165.113.042-70
Luiz Otávio Aparecida,Mathias Macedo,Helena Freitas,04/11/2016,M,Barros de das Neves - RS,Moura,AC,Estado do Acre,07/12/2015,07/12/2021,Instituto de Identificacao,722.851.404-10
Juliana da Mota,Vicente Martins,Maria Luiza Cavalcanti,14/11/1954,F,Aparecida do Norte - AC,da Rosa do Oeste,RN,Estado do Rio Grande do Norte,16/05/2025,16/05/2030,Instituto de Identificacao / PC RN,648.707.232-55
Maria Fernanda Melo,Luiz Gustavo Rezende,Maitê Jesus,10/04/1984,F,Siqueira - RJ,Peixoto,RR,Estado de Roraima,05/02/2022,05/02/2029,Instituto de Identificacao / PC RR,735.880.733-20
Stella Camargo,Pedro Novaes,Hadassa Rios,13/03/1962,F,Castro de Andrade - PA,Carvalho do Norte,PA,Estado do Pará,17/06/2019,17/06/2028,Instituto de Identificacao,826.176.383-80
Benício da Luz,Rafael Pereira,Ana Vitória Farias,16/10/1951,F,Melo - PA,Alves de Minas,SE,Estado de Sergipe,03/06/2015,03/06/2025,Instituto de Identificacao,587.270.759-85
Maria Vitória Pires,Bento Teixeira,Olivia Silveira,09/07/2007,F,Gonçalves - AL,das Neves dos Dourados,RN,Estado do Rio Grande do Norte,14/02/2020,14/02/2025,Instituto de Identificacao / SSP RN,530.833.674-75
Maria Flor Porto,Henry Gabriel Moreira,Maria Luiza Cunha,31/05/1993,F,Monteiro Paulista - AP,da Costa das Pedras,MA,Estado do Maranhão,12/05/2024,12/05/2032,Instituto de Identificacao / SSP MA,780.889.821-64
Thiago Mendes,Danilo da Rocha,Eduarda Vieira,15/04/1976,F,Pinto da Serra - AP,Sales,DF,Distrito Federal,07/03/2016,07/03/2022,Instituto de Identificacao / SSP DF,084.845.270-96
Anna Liz Camargo,Luiz Miguel Pires,Bella Vargas,19/04/1963,F,Sales - SC,Leão do Sul,RR,Estado de Roraima,09/01/2020,09/01/2026,Instituto de Identificacao / SSP RR,950.964.769-10
Arthur Gabriel Macedo,Erick Pinto,Maria Sophia da Rosa,09/01/1964,F,Almeida - PE,Vargas das Pedras,MG,Estado de Minas Gerais,01/06/2022,01/06/2027,Instituto de Identificacao,013.973.884-21
Carlos Eduardo Carvalho,Erick Nascimento,Cecília Pires,21/09/1962,M,da Rocha - AC,Montenegro,SP,Estado de São Paulo,29/12/2012,29/12/2020,Instituto de Identificacao / SSP SP,741.723.824-06
Sofia Macedo,Ravi Sousa,Antonella Caldeira,10/10/1944,F,Costa de Vasconcelos - PB,da Cruz da Praia,CE,Estado do Ceará,21/01/2012,21/01/2022,Instituto de Identificacao,255.266.632-27
Carolina da Luz,José Pedro Cassiano,Kamilly Fogaça,06/03/1954,M,Vargas da Prata - DF,Marques do Amparo,MS,Estado de Mato Grosso do Sul,23/11/2022,23/11/2029,Instituto de Identificacao,457.105.597-71
Heloisa da Conceição,Pietro Rodrigues,Brenda Abreu,17/08/1979,F,da Conceição do Sul - PE,Rios da Prata,MA,Estado do Maranhão,14/10/2019,14/10/2024,Instituto de Identificacao / PC MA,481.399.845-03
Davi Luiz Vieira,Bento Gomes,Ana Sophia Ferreira,16/03/1936,F,Oliveira - SC,Dias,CE,Estado do Ceará,18/02/2014,18/02/2019,Instituto de Identificacao,376.805.489-15
Alícia Correia,Rhavi Pacheco,Lívia Sales,23/03/1979,M,Silva - PE,Rezende,SE,Estado de Sergipe,17/08/2016,17/08/2024,Instituto de Identificacao,447.359.088-07
Bianca Silveira,Lucas Gabriel Carvalho,Ana Julia Farias,11/01/1954,M,Aparecida Alegre - MT,Rodrigues,TO,Estado do Tocantins,20/10/2015,20/10/2021,Instituto de Identificacao,502.594.098-02
Maria Helena da Conceição,Raul Moreira,Ana Carolina Siqueira,05/05/2005,M,Rodrigues de Machado - RO,Sampaio do Galho,RR,Estado de Roraima,29/06/2024,29/06/2031,Instituto de Identificacao,839.067.774-84
Theo Novais,Daniel Duarte,Giovanna da Cunha,11/01/1988,M,Gonçalves - MA,Rocha do Norte,RS,Estado do Rio Grande do Sul,13/08/2023,13/08/2033,Instituto de Identificacao,464.817.867-64
José Pedro Lopes,Benjamin Cunha,Maitê Ramos,06/09/1979,F,Santos - DF,Carvalho dos Dourados,AP,Estado do Amapá,23/05/2023,23/05/2030,Instituto de Identificacao / PC AP,878.510.588-65
José Rocha,Juan Azevedo,Clara Campos,20/04/1993,F,Silva de Duarte - AM,Rios,PB,Estado da Paraíba,16/10/2017,16/10/2027,Instituto de Identificacao / PC PB,527.651.100-96
Henry Cardoso,Felipe Guerra,Ana Liz Rodrigues,15/01/1995,F,Mendes das Flores - MG,Duarte,AL,Estado de Alagoas,20/12/2015,20/12/2024,Instituto de Identificacao,311.920.377-70
Fernanda da Cruz,Enrico Barros,Isabel Cavalcante,01/02/1975,M,Dias das Pedras - SP,Teixeira,SP,Estado de São Paulo,21/05/2011,21/05/2021,Instituto de Identificacao / SSP SP,152.483.966-30
Mateus Castro,Mateus da Mata,Maria Isis Gomes,14/01/1956,F,Macedo dos Dourados - RJ,Sousa dos Dourados,ES,Estado do Espírito Santo,16/11/2017,16/11/2025,Instituto de Identificacao / SSP ES,956.845.265-15
Giovanna Dias,João Pedro Pereira,Elisa Mendonça,21/03/2007,F,Macedo da Mata - AL,Duarte,PE,Estado de Pernambuco,28/01/2023,28/01/2029,Instituto de Identificacao / PC PE,504.133.291-15
Emilly Campos,Calebe Garcia,Maria Cecília Pires,05/03/1968,F,Aparecida do Norte - PR,Castro,RO,Estado de Rondônia,08/06/2012,08/06/2017,Instituto de Identificacao / SSP RO,211.445.883-38
Pedro Lucas Carvalho,Nicolas Marques,Maria Sophia Gomes,28/12/1967,M,Santos do Amparo - RJ,Garcia do Sul,MA,Estado do Maranhão,14/04/2017,14/04/2023,Instituto de Identificacao / SSP MA,849.249.331-21
Hadassa da Paz,Thomas Sousa,Valentina Mendonça,11/12/1945,M,Alves - GO,Rodrigues,SE,Estado de Sergipe,07/08/2022,07/08/2028,Instituto de Identificacao / SSP SE,454.562.106-60
Nathan Costa,Murilo Castro,Natália Oliveira,27/05/1992,F,Martins - PI,Vargas,GO,Estado de Goiás,25/08/2025,25/08/2034,Instituto de Identificacao / SSP GO,867.883.172-95
Maria Vitória Rezende,Luiz Gustavo Moreira,Aylla Lima,26/12/1945,F,Sampaio de Câmara - AL,Pimenta da Praia,RR,Estado de Roraima,17/11/2022,17/11/2032,Instituto de Identificacao / SSP RR,546.863.785-23
Letícia Pires,João Lucas Machado,Maya Andrade,27/02/2004,M,Sousa - RS,Pinto dos Dourados,SC,Estado de Santa Catarina,30/04/2025,30/04/2031,Instituto de Identificacao,193.366.432-47
Daniel Cavalcanti,Otávio Pastor,Anna Liz Novaes,20/08/2012,M,Cirino das Flores - AM,Duarte de Minas,BA,Estado da Bahia,30/09/2023,30/09/2030,Instituto de Identificacao / PC BA,441.967.631-83
Luara Correia,Yan Camargo,Maria Clara Mendes,31/01/2003,F,Ferreira das Pedras - AC,Silva,PE,Estado de Pernambuco,27/10/2014,27/10/2022,Instituto de Identificacao,303.684.630-10
Luna Pires,Rhavi Fogaça,Hellena Almeida,24/02/2008,F,Oliveira - AC,Araújo,BA,Estado da Bahia,19/06/2015,19/06/2025,Instituto de Identificacao / SSP BA,371.353.892-93
João Miguel Ramos,Rael Araújo,Carolina Teixeira,19/11/1973,M,Pacheco de Minas - SP,Correia,MG,Estado de Minas Gerais,04/04/2011,04/04/2021,Instituto de Identificacao / PC MG,398.788.493-67
Lucas Vieira,Davi Lucas Almeida,Isabella Porto,21/04/1949,F,Sales das Pedras - PR,da Luz do Oeste,PR,Estado do Paraná,22/12/2024,22/12/2032,Instituto de Identificacao,807.407.747-00
Hadassa Silva,Augusto Vargas,Maria Flor Teixeira,09/01/1981,F,Campos do Sul - GO,Fernandes,RO,Estado de Rondônia,13/08/2022,13/08/2032,Instituto de Identificacao / SSP RO,795.641.412-75
Liz Barros,Apollo Rocha,Manuela Barbosa,07/04/2004,F,Lopes da Prata - AP,Vargas,SC,Estado de Santa Catarina,24/06/2012,24/06/2020,Instituto de Identificacao,424.949.239-99
Luiz Fernando da Conceição,Luiz Henrique Alves,Agatha Melo,08/11/1979,F,Fonseca Paulista - MA,Macedo do Oeste,AL,Estado de Alagoas,16/12/2014,16/12/2024,Instituto de Identificacao,324.014.328-86
Ana Clara Fogaça,Gael Henrique da Luz,Lívia da Mota,06/11/2016,F,Teixeira Paulista - MT,Santos de Minas,AM,Estado do Amazonas,14/10/2015,14/10/2025,Instituto de Identificacao,272.329.802-99
Diogo Costa,Henry Gabriel Sá,Eduarda Azevedo,15/12/1993,F,Andrade das Pedras - PI,Souza de Casa Grande,AP,Estado do Amapá,13/09/2015,13/09/2023,Instituto de Identificacao,411.978.158-50
Rafaela Ferreira,Arthur Gabriel Sampaio,Ana Luiza Cassiano,18/12/1995,F,Siqueira Paulista - MA,Fernandes,RR,Estado de Roraima,25/11/2012,25/11/2020,Instituto de Identificacao / SSP RR,929.882.153-38
Eloah Guerra,Yan Alves,Agatha Martins,21/05/1953,M,Garcia - ES,Pacheco,SP,Estado de São Paulo,27/09/2013,27/09/2020,Instituto de Identificacao,129.395.629-79
Brenda Sales,Lucca Fernandes,Alícia da Paz,09/04/2015,M,Alves do Oeste - CE,Camargo da Praia,MG,Estado de Minas Gerais,02/12/2021,02/12/2030,Instituto de Identificacao / SSP MG,073.181.081-03
Maria Isis Duarte,Renan Lopes,Isabel Monteiro,10/04/1937,F,Sousa - PE,Oliveira de Porto,MT,Estado de Mato Grosso,09/08/2011,09/08/2019,Instituto de Identificacao / PC MT,259.618.375-99
Ana Julia Cunha,João Lucas Novais,Ana Beatriz Fogaça,07/12/1949,F,Rios de Costa - PB,Pacheco do Galho,AM,Estado do Amazonas,04/11/2019,04/11/2024,Instituto de Identificacao / PC AM,218.934.461-66
Nicole Barbosa,Calebe Martins,Sofia Moraes,27/01/1963,M,Leão - RS,Pimenta do Sul,MG,Estado de Minas Gerais,29/04/2013,29/04/2021,Instituto de Identificacao,722.933.091-58
Isabelly Cirino,Asafe Ribeiro,Ana Sophia Cassiano,16/10/1981,F,Jesus - AC,Viana de Campos,TO,Estado do Tocantins,22/04/2020,22/04/2029,Instituto de Identificacao / SSP TO,357.639.499-00
Ana Laura Duarte,Cauê Teixeira,Maria Júlia Gomes,31/08/1964,M,da Mata da Serra - MS,da Cunha de Sá,MA,Estado do Maranhão,09/03/2021,09/03/2026,Instituto de Identificacao / SSP MA,162.863.351-69
Mariane Ferreira,Noah Moraes,Luara Nascimento,27/02/1980,F,Montenegro - MS,Santos,GO,Estado de Goiás,27/04/2017,27/04/2025,Instituto de Identificacao,845.121.345-60
Ayla Leão,Leonardo Moreira,Luna Guerra,18/11/1980,F,Pinto - ES,Nogueira do Galho,AM,Estado do Amazonas,08/08/2025,08/08/2033,Instituto de Identificacao / PC AM,932.749.430-73
Julia Rodrigues,Gabriel da Rosa,Isadora Cirino,29/08/1960,F,da Cunha Paulista - PE,Carvalho do Norte,PA,Estado do Pará,01/08/2012,01/08/2019,Instituto de Identificacao / PC PA,022.469.805-58
Eduardo Dias,Oliver Vasconcelos,Fernanda Moura,21/07/2007,M,Ribeiro de da Rocha - RR,Lopes,RN,Estado do Rio Grande do Norte,08/08/2024,08/08/2030,Instituto de Identificacao / PC RN,655.991.661-17
Vitor Gabriel Oliveira,Ian Gonçalves,Ana Julia Costela,09/07/1987,F,Correia - MG,Rodrigues,PI,Estado do Piauí,19/05/2015,19/05/2023,Instituto de Identificacao,917.967.207-17
Maria Vitória Azevedo,Gabriel Fernandes,Ana Carolina Nunes,13/02/1950,F,Costela de Silva - SP,Siqueira,RJ,Estado do Rio de Janeiro,16/03/2018,16/03/2027,Instituto de Identificacao / PC RJ,826.830.311-41
Maria Rocha,Oliver Siqueira,Lívia Montenegro,10/02/1940,M,Lima - SE,Barbosa do Amparo,RR,Estado de Roraima,23/07/2021,23/07/2027,Instituto de Identificacao,915.753.660-92
Mirella Vasconcelos,João Gabriel Sales,Emanuella Brito,20/03/2024,M,Martins de Dias - MT,Andrade dos Dourados,PA,Estado do Pará,23/08/2019,23/08/2027,Instituto de Identificacao,569.690.429-25
Lucca Garcia,Murilo Mendes,Esther da Mata,05/07/1945,M,Pires de Albuquerque - GO,Peixoto,TO,Estado do Tocantins,16/04/2012,16/04/2022,Instituto de Identificacao,018.221.082-29
Kamilly Brito,Pedro Miguel Novaes,Maysa Cardoso,27/09/1992,F,Sales do Sul - AP,Machado de Pereira,MT,Estado de Mato Grosso,25/03/2011,25/03/2018,Instituto de Identificacao / SSP MT,550.530.825-20
Vinícius Peixoto,Diogo Cardoso,Maria Júlia Monteiro,13/12/1958,M,Moura do Norte - AM,Freitas de da Rocha,PE,Estado de Pernambuco,22/06/2022,22/06/2030,Instituto de Identificacao,591.755.270-03
Arthur Gabriel da Costa,Vicente Vargas,Luana Cavalcanti,23/11/1970,M,Vieira de Macedo - RO,Castro,PR,Estado do Paraná,28/10/2014,28/10/2020,Instituto de Identificacao,390.249.494-80
Melissa Andrade,Enrico Nascimento,Júlia Porto,15/01/1954,M,da Mata - MG,Rocha do Sul,PI,Estado do Piauí,18/07/2013,18/07/2023,Instituto de Identificacao / SSP PI,186.747.335-60
Theo Moraes,Pedro da Mota,Manuella da Cunha,06/02/2023,F,Araújo Paulista - MG,Sales,MG,Estado de Minas Gerais,02/10/2020,02/10/2027,Instituto de Identificacao,280.488.824-00
Joana da Mota,Igor da Conceição,Kamilly Rezende,08/07/1953,F,da Costa - AM,Sá,PB,Estado da Paraíba,24/08/2020,24/08/2026,Instituto de Identificacao,758.189.285-72
Apollo Aparecida,Pedro Lucas Brito,Ana Júlia da Rocha,07/06/1968,M,Alves do Galho - RN,da Conceição de Duarte,PB,Estado da Paraíba,22/05/2011,22/05/2017,Instituto de Identificacao,035.234.523-86
Lorenzo Sampaio,Francisco Fonseca,Joana Lima,07/01/2005,M,Vieira - PB,Abreu de Minas,SE,Estado de Sergipe,22/11/2012,22/11/2020,Instituto de Identificacao,162.025.870-42
Rebeca Lopes,Diogo Souza,Ana Vitória Sá,18/01/1975,F,Porto - SP,Casa Grande de Minas,PB,Estado da Paraíba,15/11/2021,15/11/2031,Instituto de Identificacao / SSP PB,050.346.403-48
Noah Pimenta,Mathias Teixeira,Sabrina Farias,18/10/1957,F,Montenegro de Rezende - BA,Leão do Norte,SE,Estado de Sergipe,01/01/2012,01/01/2021,Instituto de Identificacao / SSP SE,441.303.860-24
Yasmin Cirino,Arthur Miguel Melo,Fernanda da Luz,01/12/1982,M,Cassiano - ES,Correia de Melo,DF,Distrito Federal,04/11/2018,04/11/2023,Instituto de Identificacao,629.265.956-45
Manuella Silveira,Cauã da Paz,Ana Lívia Montenegro,23/04/1971,M,Mendes - PI,Martins,RR,Estado de Roraima,04/04/2024,04/04/2029,Instituto de Identificacao,497.182.221-98
Dante Duarte,Lucca Andrade,Eduarda da Cruz,05/01/2006,F,Souza Verde - SP,Pires,GO,Estado de Goiás,16/12/2014,16/12/2022,Instituto de Identificacao / PC GO,379.414.599-94
Sabrina Mendes,Anthony Gabriel Vieira,Ayla Pacheco,03/10/1981,M,Camargo - MS,Sales de Mendonça,PI,Estado do Piauí,02/05/2014,02/05/2022,Instituto de Identificacao / SSP PI,383.654.392-21
Maria Luísa Oliveira,Francisco Fernandes,Ester da Paz,26/07/1984,M,Pinto - BA,Fernandes Verde,AC,Estado do Acre,18/08/2021,18/08/2031,Instituto de Identificacao / PC AC,783.339.466-66
Benjamin da Rocha,Erick Mendes,Bárbara Rocha,18/12/1997,M,Pastor - GO,da Cunha do Sul,SC,Estado de Santa Catarina,31/12/2021,31/12/2028,Instituto de Identificacao,379.232.906-63
Stella Correia,Mateus Peixoto,Nicole Oliveira,21/06/2008,M,da Conceição do Amparo - GO,Aragão,MG,Estado de Minas Gerais,23/04/2019,23/04/2026,Instituto de Identificacao,895.619.346-74
Emanuella Moura,João Guilherme Rocha,Ana Clara Pastor,09/11/1990,M,Teixeira do Galho - MS,Vargas,AP,Estado do Amapá,11/01/2012,11/01/2020,Instituto de Identificacao / PC AP,989.140.311-78
Maria Isis Oliveira,Oliver Sampaio,Luísa Garcia,04/09/1963,M,Pereira - RR,Mendes de da Conceição,CE,Estado do Ceará,09/06/2015,09/06/2025,Instituto de Identificacao,664.950.835-99
Yuri Cardoso,Joaquim das Neves,Fernanda Lopes,26/08/1998,F,Abreu das Flores - PA,da Luz,DF,Distrito Federal,18/05/2016,18/05/2022,Instituto de Identificacao,639.763.959-49
Francisco Fonseca,Benjamin Freitas,Carolina Moura,15/10/1970,M,Montenegro dos Dourados - DF,Camargo do Norte,AP,Estado do Amapá,19/06/2023,19/06/2033,Instituto de Identificacao,451.693.767-47
Vinicius Moraes,Kevin Guerra,Sarah da Paz,29/09/2024,M,Brito - RN,Mendonça de da Rocha,PE,Estado de Pernambuco,30/09/2018,30/09/2027,Instituto de Identificacao,344.041.625-54
Ana Laura Rocha,Brayan Barros,Olivia Correia,02/01/2016,F,Vargas - AM,da Cruz da Praia,RR,Estado de Roraima,24/04/2015,24/04/2020,Instituto de Identificacao,883.501.793-90
Luiz Fernando Sousa,Heitor Barbosa,Melina da Mata,25/07/2001,F,Castro - PR,Vargas de Ribeiro,RN,Estado do Rio Grande do Norte,17/02/2022,17/02/2030,Instituto de Identificacao / PC RN,221.499.965-88
Juliana Pereira,Arthur Gabriel Brito,Isis Vargas,14/07/1957,M,da Mata de Minas - MS,Azevedo das Flores,BA,Estado da Bahia,06/08/2014,06/08/2019,Instituto de Identificacao / PC BA,039.863.197-49
Ryan Albuquerque,Mathias Sá,Maria Alice Nascimento,30/09/2020,M,Pinto da Prata - MS,Cardoso,MT,Estado de Mato Grosso,20/07/2013,20/07/2020,Instituto de Identificacao,627.485.480-00
Rebeca Alves,Brayan Andrade,Olívia da Rocha,29/04/1979,F,Sousa do Galho - SC,Novais do Norte,MG,Estado de Minas Gerais,05/09/2023,05/09/2028,Instituto de Identificacao / SSP MG,667.670.964-03
Benício Mendes,Luan Borges,Maria Clara Borges,26/09/1992,M,Viana das Pedras - RO,Macedo de Goiás,AP,Estado do Amapá,08/07/2013,08/07/2022,Instituto de Identificacao,471.549.857-55
Caleb da Luz,Valentim Rocha,Sophie Ribeiro,02/01/1969,M,Azevedo - CE,Cassiano,SE,Estado de Sergipe,05/11/2015,05/11/2025,Instituto de Identificacao / SSP SE,905.655.152-86
Heloísa Azevedo,Guilherme Gomes,Alana Sampaio,22/11/2008,M,Cunha - AC,da Cunha,RJ,Estado do Rio de Janeiro,07/06/2016,07/06/2021,Instituto de Identificacao,172.348.207-30
Aurora Fernandes,Henry Gabriel Casa Grande,Maria Luiza Sá,23/06/1986,M,Nogueira da Mata - AP,Rezende de Goiás,MT,Estado de Mato Grosso,28/07/2022,28/07/2032,Instituto de Identificacao / SSP MT,885.847.484-90
Isis Nunes,André Fernandes,Juliana Rodrigues,13/05/2006,F,Vieira - AL,Silva,GO,Estado de Goiás,18/10/2012,18/10/2020,Instituto de Identificacao / SSP GO,412.949.461-54
Ana Laura Albuquerque,Ian Nogueira,Júlia Cunha,09/10/2008,F,Ferreira - MS,Silveira,GO,Estado de Goiás,09/02/2022,09/02/2028,Instituto de Identificacao / PC GO,748.419.638-55
José Pedro Pacheco,Benjamin Viana,Lívia Vieira,28/07/1997,F,Fonseca da Serra - PE,Pires,AL,Estado de Alagoas,04/10/2015,04/10/2022,Instituto de Identificacao / PC AL,803.544.956-70
Vitor Montenegro,Nicolas Almeida,Emilly da Rosa,12/06/2019,M,Mendonça - SP,Pastor,SC,Estado de Santa Catarina,02/07/2023,02/07/2031,Instituto de Identificacao / PC SC,040.275.905-11
Gael Castro,Isaque Barbosa,Maria Isis Dias,02/08/1986,F,Fonseca - SC,Nascimento da Prata,MS,Estado de Mato Grosso do Sul,27/03/2016,27/03/2023,Instituto de Identificacao,052.063.467-50
Dom Carvalho,Isaac Ferreira,Sophia Freitas,09/02/1983,M,Moreira - PR,da Cruz,PI,Estado do Piauí,30/11/2022,30/11/2032,Instituto de Identificacao,143.632.886-93
Ana Luiza Rezende,Renan Mendonça,Valentina Nogueira,17/08/1945,F,da Luz das Pedras - PI,Sampaio,CE,Estado do Ceará,29/03/2020,29/03/2027,Instituto de Identificacao / PC CE,923.172.495-72
Stella Gomes,Pedro Montenegro,Maria Luísa Viana,13/01/2018,M,Caldeira - PE,Barbosa,TO,Estado do Tocantins,12/02/2022,12/02/2029,Instituto de Identificacao,821.074.787-80
Ana Júlia Oliveira,Benício Marques,Lívia Gonçalves,29/07/1970,F,Pacheco da Mata - RN,Mendes,PA,Estado do Pará,26/06/2018,26/06/2025,Instituto de Identificacao,838.654.254-40
Sofia Mendes,Bento Vasconcelos,Ana Sophia Vargas,25/09/2001,F,Aragão - DF,da Paz das Flores,PR,Estado do Paraná,06/11/2012,06/11/2021,Instituto de Identificacao,150.011.200-21
Igor Monteiro,Vitor Hugo Fonseca,Marina Alves,11/06/2017,M,Moura do Amparo - PI,Souza de Barros,SP,Estado de São Paulo,02/08/2024,02/08/2032,Instituto de Identificacao / PC SP,293.062.471-00
Bruna Santos,Cauê Montenegro,Isabelly Pimenta,18/09/1965,F,Nogueira das Pedras - TO,Lima,GO,Estado de Goiás,18/03/2011,18/03/2018,Instituto de Identificacao / SSP GO,051.205.794-00
Lorenzo Viana,Josué Pastor,Maria Vargas,02/06/1991,F,Azevedo de Goiás - RN,Cassiano,ES,Estado do Espírito Santo,14/04/2022,14/04/2028,Instituto de Identificacao,714.121.739-08
Ana Liz Cavalcante,Nicolas Dias,Maria Sophia da Paz,07/10/2013,M,Alves - MG,Freitas,TO,Estado do Tocantins,19/04/2014,19/04/2023,Instituto de Identificacao,548.512.562-46
Gael da Cunha,Levi Lopes,Ana Clara Alves,13/07/2021,M,Caldeira de Minas - AC,Lopes,AM,Estado do Amazonas,11/08/2020,11/08/2028,Instituto de Identificacao / SSP AM,846.248.036-93
Diogo da Paz,Matheus Machado,Alice Cavalcanti,05/05/1974,M,Caldeira - SE,Campos,RR,Estado de Roraima,08/05/2011,08/05/2018,Instituto de Identificacao / SSP RR,361.223.610-79
Aylla Ferreira,Ravy Azevedo,Sophia Marques,19/10/1959,M,Rocha - PB,Farias,AC,Estado do Acre,29/09/2015,29/09/2024,Instituto de Identificacao / SSP AC,770.155.261-90
Maria Alice Rodrigues,Miguel Ribeiro,Emanuelly da Paz,30/06/1960,M,Porto - PA,Silva,MT,Estado de Mato Grosso,26/10/2012,26/10/2022,Instituto de Identificacao,328.234.818-05
Melissa Guerra,Asafe Garcia,Luísa da Cunha,08/10/1994,M,Marques - RR,Pimenta de Goiás,AM,Estado do Amazonas,28/09/2012,28/09/2021,Instituto de Identificacao,373.391.541-38
Manuella Pimenta,José Cassiano,Zoe Oliveira,08/05/1946,M,Teixeira do Norte - PE,Camargo de Goiás,PI,Estado do Piauí,06/09/2016,06/09/2026,Instituto de Identificacao / SSP PI,289.956.707-01
Antony Cunha,Enzo Gabriel Cunha,Mirella Siqueira,10/03/1951,M,Rios Grande - SP,Gomes das Pedras,RJ,Estado do Rio de Janeiro,02/05/2023,02/05/2033,Instituto de Identificacao / PC RJ,172.501.952-21
Cecilia Duarte,Davi Lucas Santos,Maria Campos,26/05/1952,F,Pinto de Goiás - AL,Leão da Serra,GO,Estado de Goiás,19/02/2025,19/02/2033,Instituto de Identificacao / SSP GO,205.626.617-49
João Vitor Rezende,Diego Ferreira,Catarina da Conceição,25/11/2023,F,Câmara - PB,Costa,RR,Estado de Roraima,05/04/2017,05/04/2024,Instituto de Identificacao,529.728.781-76
Maria Clara Freitas,Henrique Ferreira,Sarah Camargo,22/01/2011,M,Casa Grande do Galho - GO,das Neves do Campo,SE,Estado de Sergipe,10/06/2017,10/06/2025,Instituto de Identificacao / SSP SE,231.297.226-40
Lucas Gomes,Nicolas Carvalho,Ana Liz da Paz,18/12/1997,M,Jesus de Ferreira - BA,Leão dos Dourados,DF,Distrito Federal,01/06/2019,01/06/2029,Instituto de Identificacao / SSP DF,301.499.515-47
Mariana Cardoso,Enzo da Luz,Maria Liz Lopes,18/02/1941,F,Teixeira dos Dourados - ES,Fonseca das Flores,RO,Estado de Rondônia,14/04/2019,14/04/2025,Instituto de Identificacao / SSP RO,106.058.949-22
Marina Pacheco,Davi Lucca Ramos,Laura Andrade,24/03/1954,F,Ribeiro de Pacheco - RJ,Correia,PI,Estado do Piauí,01/02/2019,01/02/2026,Instituto de Identificacao / PC PI,126.283.967-00
Pedro Miguel da Mota,João Lucas Abreu,Maria Flor Dias,26/01/1941,F,da Rocha Paulista - RN,Sousa das Pedras,CE,Estado do Ceará,14/11/2020,14/11/2025,Instituto de Identificacao / SSP CE,115.754.635-17
Jade Martins,Rael Pimenta,Emilly Freitas,11/12/1955,M,Alves da Serra - AL,Vasconcelos de Pereira,RJ,Estado do Rio de Janeiro,09/07/2025,09/07/2032,Instituto de Identificacao / SSP RJ,818.544.907-69
Luana Pires,Théo Aparecida,Maria Liz Cardoso,24/01/1947,F,Novaes - ES,da Conceição,RR,Estado de Roraima,23/12/2022,23/12/2028,Instituto de Identificacao / SSP RR,782.865.025-51
